ticker,name,sector,industry, mcap 
ACAD,ACADIA Pharmaceuticals Inc.,Healthcare,Biotechnology," 3,779,865,600 "
ACIC,American Coastal Insurance Corp,Financial Services,Insurance - Property & Casualty," 579,495,424 "
ALGT,Allegiant Travel Company,Industrials,Airlines," 1,693,736,320 "
ALKT,"Alkami Technology, Inc.",Technology,Software - Application," 1,908,112,640 "
ALRS,Alerus Financial Corporation,Financial Services,Banks - Regional," 654,853,184 "
AMAL,Amalgamated Financial Corp.,Financial Services,Banks - Regional," 1,298,486,272 "
ANGO,"AngioDynamics, Inc.",Healthcare,Medical Instruments & Supplies," 448,723,424 "
APLE,"Apple Hospitality REIT, Inc.",Real Estate,REIT - Hotel & Motel," 3,068,594,176 "
ASUR,Asure Software Inc,Technology,Software - Application," 262,017,344 "
ATRC,"AtriCure, Inc.",Healthcare,Medical Instruments & Supplies," 1,504,866,432 "
AURA,"Aura Biosciences, Inc.",Healthcare,Biotechnology," 467,656,896 "
AWR,American States Water Company,Utilities,Utilities - Regulated Water," 2,976,064,000 "
BANF,BancFirst Corporation,Financial Services,Banks - Regional," 3,918,988,032 "
BATRK,"Atlanta Braves Holdings, Inc. -",Communication Services,Entertainment," 3,116,759,040 "
BBBY,"Bed Bath & Beyond, Inc.",,," 423,720,416 "
BELFA,Bel Fuse Inc.,Technology,Electronic Components," 3,213,444,352 "
BHRB,Burke & Herbert Financial Servi,Financial Services,Banks - Regional," 996,324,288 "
BHVN,Biohaven Ltd.,Healthcare,Biotechnology," 1,651,617,792 "
BJRI,"BJ's Restaurants, Inc.",Consumer Cyclical,Restaurants," 830,717,760 "
BKE,"Buckle, Inc. (The)",Consumer Cyclical,Apparel Retail," 2,813,917,952 "
BOOT,"Boot Barn Holdings, Inc.",Consumer Cyclical,Apparel Retail," 4,971,575,808 "
BSVN,Bank7 Corp.,Financial Services,Banks - Regional," 416,566,112 "
CCS,"Century Communities, Inc.",Real Estate,Real Estate - Development," 1,809,847,168 "
CD,Chaince Digital Holdings Inc. -,Financial Services,Capital Markets," 442,312,608 "
CHEF,"The Chefs' Warehouse, Inc.",Consumer Defensive,Food Distribution," 2,683,983,360 "
CTBI,"Community Trust Bancorp, Inc.",Financial Services,Banks - Regional," 1,217,178,240 "
CTRN,"Citi Trends, Inc.",Consumer Cyclical,Apparel Retail," 431,366,464 "
CVLG,"Covenant Logistics Group, Inc.",Industrials,Trucking," 765,060,416 "
DCOM,"Dime Community Bancshares, Inc.",Financial Services,Banks - Regional," 1,628,030,464 "
DX,"Dynex Capital, Inc.",Real Estate,REIT - Mortgage," 2,816,549,376 "
EP,Empire Petroleum Corporation,Energy,Oil & Gas E&P," 105,577,848 "
ESNT,Essent Group Ltd.,Financial Services,Insurance - Specialty," 5,866,383,872 "
ESQ,"Esquire Financial Holdings, Inc",Financial Services,Banks - Regional," 1,001,524,352 "
FDBC,"Fidelity D & D Bancorp, Inc.",Financial Services,Banks - Regional," 268,424,048 "
FHTX,Foghorn Therapeutics Inc.,Healthcare,Biotechnology," 310,524,320 "
FIHL,Fidelis Insurance Holdings Limi,Financial Services,Insurance - Diversified," 1,813,488,512 "
FINW,FinWise Bancorp,Financial Services,Banks - Regional," 235,652,272 "
FLXS,"Flexsteel Industries, Inc.",Consumer Cyclical,"Furnishings, Fixtures & Appliances"," 249,314,624 "
FRAF,Franklin Financial Services Cor,Financial Services,Banks - Regional," 262,643,040 "
GAIA,"Gaia, Inc.",Communication Services,Entertainment," 72,935,392 "
GBCI,"Glacier Bancorp, Inc.",Financial Services,Banks - Regional," 6,367,460,864 "
GOLF,Acushnet Holdings Corp.,Consumer Cyclical,Leisure," 5,863,786,496 "
HAE,Haemonetics Corporation,Healthcare,Medical Devices," 2,884,411,904 "
HAFC,Hanmi Financial Corporation,Financial Services,Banks - Regional," 839,981,760 "
HCKT,"The Hackett Group, Inc.",Technology,Information Technology Services," 354,310,816 "
HG,"Hamilton Insurance Group, Ltd.",Financial Services,Insurance - Reinsurance," 3,185,238,528 "
HLMN,Hillman Solutions Corp.,Industrials,Tools & Accessories," 1,749,959,040 "
HRTX,"Heron Therapeutics, Inc.",Healthcare,Biotechnology," 188,537,136 "
HWBK,"Hawthorn Bancshares, Inc.",Financial Services,Banks - Regional," 243,357,808 "
HZO,"MarineMax, Inc.  (FL)",Consumer Cyclical,Specialty Retail," 672,717,248 "
IBP,"Installed Building Products, In",Consumer Cyclical,Residential Construction," 8,028,890,624 "
ICUI,"ICU Medical, Inc.",Healthcare,Medical Instruments & Supplies," 3,248,011,008 "
IMMR,Immersion Corporation,Technology,Software - Application," 213,497,904 "
INGN,"Inogen, Inc",Healthcare,Medical Devices," 185,724,624 "
JAKK,"JAKKS Pacific, Inc.",Consumer Cyclical,Leisure," 257,957,040 "
JBI,"Janus International Group, Inc.",Industrials,Building Products & Equipment," 769,274,304 "
KRNY,Kearny Financial,Financial Services,Banks - Regional," 510,607,488 "
KRT,Karat Packaging Inc.,Consumer Cyclical,Packaging & Containers," 607,005,120 "
KTB,"Kontoor Brands, Inc.",Consumer Cyclical,Apparel Manufacturing," 4,296,830,464 "
KURA,"Kura Oncology, Inc.",Healthcare,Biotechnology," 859,222,976 "
LE,"Lands' End, Inc.",Consumer Cyclical,Apparel Retail," 383,088,192 "
LIVN,LivaNova PLC,Healthcare,Medical Devices," 3,670,784,512 "
LNKB,"LINKBANCORP, Inc.",Financial Services,Banks - Regional," 334,960,288 "
LPG,Dorian LPG Ltd.,Energy,Oil & Gas Midstream," 1,549,901,184 "
LYTS,LSI Industries Inc.,Technology,Electronic Components," 749,120,768 "
MBUU,"Malibu Boats, Inc.",Consumer Cyclical,Recreational Vehicles," 510,273,568 "
MCS,Marcus Corporation (The),Communication Services,Entertainment," 609,988,224 "
MHO,"M/I Homes, Inc.",Consumer Cyclical,Residential Construction," 3,256,523,008 "
MIR,"Mirion Technologies, Inc.",Industrials,Specialty Industrial Machinery," 4,950,660,096 "
MNSB,"MainStreet Bancshares, Inc.",Financial Services,Banks - Regional," 178,553,024 "
MPB,Mid Penn Bancorp,Financial Services,Banks - Regional," 867,857,792 "
MRTN,"Marten Transport, Ltd.",Industrials,Trucking," 1,213,230,464 "
MTRN,Materion Corporation,Basic Materials,Other Industrial Metals & Mining," 3,784,803,328 "
MVBF,MVB Financial Corp.,Financial Services,Banks - Regional," 343,984,096 "
NKSH,"National Bankshares, Inc.",Financial Services,Banks - Regional," 240,025,360 "
NUVL,"Nuvalent, Inc.",Healthcare,Biotechnology," 8,459,975,168 "
OCUL,"Ocular Therapeutix, Inc.",Healthcare,Biotechnology," 2,137,733,120 "
OFG,OFG Bancorp,Financial Services,Banks - Regional," 1,843,187,968 "
OM,"Outset Medical, Inc.",Healthcare,Medical Devices," 84,416,600 "
ONEW,OneWater Marine Inc.,Consumer Cyclical,Specialty Retail," 185,239,888 "
OOMA,"Ooma, Inc.",Technology,Software - Application," 432,024,992 "
OPFI,OppFi Inc.,Financial Services,Credit Services," 765,172,160 "
OSBC,"Old Second Bancorp, Inc.",Financial Services,Banks - Regional," 1,155,509,376 "
PACK,Ranpak Holdings Corp,Consumer Cyclical,Packaging & Containers," 352,380,864 "
PII,Polaris Inc.,Consumer Cyclical,Recreational Vehicles," 3,282,956,544 "
PKBK,"Parke Bancorp, Inc.",Financial Services,Banks - Regional," 360,370,240 "
POWI,"Power Integrations, Inc.",Technology,Semiconductors," 3,255,309,568 "
POWL,"Powell Industries, Inc.",Industrials,Electrical Equipment & Parts," 8,779,234,304 "
PRCH,"Porch Group, Inc.",Financial Services,Insurance - Property & Casualty," 870,427,392 "
PRTH,"Priority Technology Holdings, I",Technology,Software - Infrastructure," 423,769,600 "
PZZA,"Papa John's International, Inc.",Consumer Cyclical,Restaurants," 1,232,100,224 "
QUAD,"Quad Graphics, Inc",Industrials,Specialty Business Services," 399,817,888 "
RBB,RBB Bancorp,Financial Services,Banks - Regional," 390,486,048 "
RC,Ready Capital Corporation,Real Estate,REIT - Mortgage," 302,441,216 "
RLGT,"Radiant Logistics, Inc.",Industrials,Integrated Freight & Logistics," 389,596,832 "
RPAY,Repay Holdings Corporation,Technology,Software - Infrastructure," 359,443,424 "
RRBI,"Red River Bancshares, Inc.",Financial Services,Banks - Regional," 634,895,744 "
RUSHA,"Rush Enterprises, Inc.",Consumer Cyclical,Auto & Truck Dealerships," 5,788,174,336 "
SBSI,"Southside Bancshares, Inc.",Financial Services,Banks - Regional," 992,840,896 "
SHAK,"Shake Shack, Inc.",Consumer Cyclical,Restaurants," 4,428,494,336 "
SHEN,Shenandoah Telecommunications C,Communication Services,Telecom Services," 900,310,848 "
SKY,"Champion Homes, Inc.",Consumer Cyclical,Residential Construction," 4,542,954,496 "
SMBC,"Southern Missouri Bancorp, Inc.",Financial Services,Banks - Regional," 749,808,896 "
SMTC,Semtech Corporation,Technology,Semiconductors," 10,011,769,856 "
SNCY,"Sun Country Airlines Holdings, ",Industrials,Airlines," 993,332,672 "
SPXC,"SPX Technologies, Inc.",Industrials,Building Products & Equipment," 11,215,511,552 "
SRBK,"SR Bancorp, Inc.",Financial Services,Banks - Regional," 141,835,088 "
SRCE,1st Source Corporation,Financial Services,Banks - Regional," 1,824,050,688 "
STEL,"Stellar Bancorp, Inc.",Financial Services,Banks - Regional," 1,926,805,632 "
STOK,"Stoke Therapeutics, Inc.",Healthcare,Biotechnology," 2,204,550,144 "
